"","participant","age","place","item","value","agreement","Sum","Svartid"
"1","21794624","30-39","Fjord","Veiane.va..BYGD...BYGDE..i.fjor","bygd",0,"0","1 minutt 48 sekund"
"2","21794643","50-59","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygd",0,"0","2 minutt 14 sekund"
"3","21794680","50-59","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygd",0,"0","1 minutt 33 sekund"
"4","21794763","20-29","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygd",0,"0","52 sekund"
"5","21794785","30-39","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygd",0,"0","1 minutt 6 sekund"
"6","21794818","30-39","Sula","Veiane.va..BYGD...BYGDE..i.fjor","bygd",0,"0","45 sekund"
"7","21794822","20-29","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygd",0,"0","1 minutt 4 sekund"
"8","21794859","30-39","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygd",0,"0","1 minutt 18 sekund"
"9","21794954","40-49","Sykkylven","Veiane.va..BYGD...BYGDE..i.fjor","bygd",0,"0","1 minutt 14 sekund"
"10","21794967","30-39","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygd",0,"0","1 minutt 12 sekund"
"11","21794979","30-39","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygd",0,"0","2 minutt 3 sekund"
"12","21794987","40-49","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygd",0,"0","1 minutt 53 sekund"
"13","21795056","30-39","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygd",0,"0","2 minutt 13 sekund"
"14","21795169","30-39","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygd",0,"0","1 minutt 13 sekund"
"15","21795197","50-59","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygd",0,"0","53 sekund"
"16","21795200","30-39","Giske","Veiane.va..BYGD...BYGDE..i.fjor","bygd",0,"0","1 minutt 25 sekund"
"17","21795351","40-49","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygd",0,"0","1 minutt 43 sekund"
"18","21795408","50-59","Ålesund","Veiane.va..BYGD...BYGDE..i.fjor","bygd",0,"0","1 minutt 16 sekund"
"19","21795479","40-49","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygd",0,"0","1 minutt 29 sekund"
"20","21795524","30-39","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygd",0,"0","41 sekund"
"21","21795560","50-59","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygd",0,"0","3 minutt 34 sekund"
"22","21795564","50-59","Stranda","Veiane.va..BYGD...BYGDE..i.fjor","bygd",0,"0","1 minutt 35 sekund"
"23","21796000","50-59","Voldinje","Veiane.va..BYGD...BYGDE..i.fjor","bygd",0,"0","1 minutt 21 sekund"
"24","21796001","30-39","Fjord","Veiane.va..BYGD...BYGDE..i.fjor","bygd",0,"0","54 sekund"
"25","21796034","40-49","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygd",0,"0","1 minutt 18 sekund"
"26","21796058","40-49","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygd",0,"0","1 minutt 53 sekund"
"27","21796066","60-69","Ålesund","Veiane.va..BYGD...BYGDE..i.fjor","bygd",0,"0","1 minutt 4 sekund"
"28","21796091","40-49","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygd",0,"0","3 minutt 56 sekund"
"29","21796195","40-49","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygd",0,"0","55 sekund"
"30","21796445","50-59","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygd",0,"0","1 minutt 38 sekund"
"31","21797736","30-39","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygd",0,"0","3 minutt 21 sekund"
"32","21797850","<20","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygd",0,"0","28 sekund"
"33","21797881","50-59","Herøy","Veiane.va..BYGD...BYGDE..i.fjor","bygd",0,"0","1 minutt 49 sekund"
"34","21797884","50-59","Vanylven","Veiane.va..BYGD...BYGDE..i.fjor","bygd",0,"0","1 minutt 23 sekund"
"35","21797900","30-39","Ålesund","Veiane.va..BYGD...BYGDE..i.fjor","bygd",0,"0","1 minutt 31 sekund"
"36","21798119","40-49","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygd",0,"0","49 sekund"
"37","21798200","30-39","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygd",0,"0","52 sekund"
"38","21798209","30-39","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygd",0,"0","3 minutt 42 sekund"
"39","21798212","40-49","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygd",0,"0","1 minutt 49 sekund"
"40","21798255","40-49","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygd",0,"0","1 minutt 15 sekund"
"41","21799646","50-59","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygd",0,"0","1 minutt 48 sekund"
"42","21800055","30-39","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygd",0,"0","1 minutt 5 sekund"
"43","21800208","20-29","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygd",0,"0","1 minutt 2 sekund"
"44","21800230","40-49","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygd",0,"0","57 sekund"
"45","21800251","50-59","Herøy","Veiane.va..BYGD...BYGDE..i.fjor","bygd",0,"0","1 minutt 14 sekund"
"46","21800397","40-49","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygd",0,"0","1 minutt 9 sekund"
"47","21800455","40-49","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygd",0,"0","1 minutt 8 sekund"
"48","21800521","30-39","sykkylven","Veiane.va..BYGD...BYGDE..i.fjor","bygd",0,"0","1 minutt 4 sekund"
"49","21794093","50-59","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","2 minutt 6 sekund"
"50","21794628","40-49","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","44 sekund"
"51","21794667","50-59","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","58 sekund"
"52","21794670","60-69","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","59 sekund"
"53","21794673","60-69","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 8 sekund"
"54","21794675","50-59","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 5 sekund"
"55","21794681","60-69","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","3 minutt 56 sekund"
"56","21794683","50-59","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","49 sekund"
"57","21794685","60-69","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","2 minutt 16 sekund"
"58","21794690","40-49","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 2 sekund"
"59","21794696","50-59","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 36 sekund"
"60","21794699","50-59","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","2 minutt 2 sekund"
"61","21794761","50-59","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","47 sekund"
"62","21794764","40-49","Ulstein","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 1 sekund"
"63","21794767","50-59","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 4 sekund"
"64","21794772","50-59","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 26 sekund"
"65","21794780","30-39","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","47 sekund"
"66","21794798","50-59","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 13 sekund"
"67","21794801","30-39","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","46 sekund"
"68","21794831","50-59","Ørsta (utflytta i over 35 år)","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 32 sekund"
"69","21794832","50-59","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 29 sekund"
"70","21794833","50-59","Ulstein","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","3 minutt 16 sekund"
"71","21794834","50-59","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 29 sekund"
"72","21794836","30-39","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 36 sekund"
"73","21794857","50-59","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 1 sekund"
"74","21794858","50-59","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 1 sekund"
"75","21794945","50-59","Vanylven","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 5 sekund"
"76","21794946","50-59","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 18 sekund"
"77","21794947","50-59","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 8 sekund"
"78","21794952","30-39","Vanylven","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","51 sekund"
"79","21794968","50-59","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 42 sekund"
"80","21794973","40-49","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","49 sekund"
"81","21794974","40-49","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","20 sekund"
"82","21794976","50-59","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 48 sekund"
"83","21794984","50-59","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","56 sekund"
"84","21794985","40-49","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 5 sekund"
"85","21794993","40-49","Ulstein Kommune","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 18 sekund"
"86","21794995","40-49","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 35 sekund"
"87","21794996","20-29","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 18 sekund"
"88","21794998","30-39","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","37 sekund"
"89","21795000","40-49","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 10 sekund"
"90","21795004","50-59","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","2 minutt 21 sekund"
"91","21795014","50-59","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 10 sekund"
